City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hilo,US,19.7297,-155.09,78.53,71,20,5.01,few clouds
1,Ushuaia,AR,-54.8,-68.3,51.46,58,75,4.61,broken clouds
2,Belaya Gora,RU,68.5333,146.4167,-18.11,100,100,1.66,overcast clouds
3,Fortuna,US,40.5982,-124.1573,60.98,33,100,14.97,overcast clouds
4,Puerto Ayora,EC,-0.7393,-90.3518,85.96,70,39,1.5,light rain
5,Lagoa,PT,39.05,-27.9833,56.86,60,100,11.61,overcast clouds
6,Codrington,AU,-38.2667,141.9667,54.18,83,0,4.79,clear sky
7,Qaanaaq,GL,77.484,-69.3632,-14.62,73,5,4.54,clear sky
8,Busselton,AU,-33.65,115.3333,65.7,86,62,5.97,broken clouds
9,Lebu,CL,-37.6167,-73.65,61.68,78,1,17.72,clear sky
10,Mataura,NZ,-46.1927,168.8643,54.48,73,11,2.15,few clouds
11,Kodiak,US,57.79,-152.4072,38.71,87,100,4.61,overcast clouds
12,Salekhard,RU,66.53,66.6019,3.69,99,100,3.76,overcast clouds
13,Vila Franca Do Campo,PT,37.7167,-25.4333,59.2,74,100,5.93,overcast clouds
14,Zaranj,AF,30.9667,61.8833,71.56,27,80,6.96,broken clouds
15,Bowen,AU,-20.0167,148.2333,80.62,73,96,22.1,overcast clouds
16,Kaitangata,NZ,-46.2817,169.8464,56.35,72,8,3.27,clear sky
17,Vardo,NO,70.3705,31.1107,30.79,80,100,5.12,overcast clouds
18,Bredasdorp,ZA,-34.5322,20.0403,67.32,83,57,11.5,broken clouds
19,Ryotsu,JP,38.0833,138.4333,46.99,65,100,5.23,overcast clouds
20,Ca Mau,VN,9.1769,105.15,77.09,81,91,2.73,overcast clouds
21,Klaksvik,FO,62.2266,-6.589,40.12,92,100,7.05,overcast clouds
22,Sapernoye,RU,60.7167,29.9505,35.65,99,100,5.01,overcast clouds
23,Fairbanks,US,64.8378,-147.7164,13.01,44,0,17.27,clear sky
24,Alice Springs,AU,-23.7,133.8833,58.55,58,0,0.0,clear sky
25,San Cristobal,VE,7.7669,-72.225,77.18,76,89,0.74,overcast clouds
26,Prachuap Khiri Khan,TH,12.2167,99.75,72.27,79,99,2.77,overcast clouds
27,Mackay,AU,-21.15,149.2,80.58,69,75,23.02,broken clouds
28,Westport,US,41.1415,-73.3579,33.78,69,100,29.93,overcast clouds
29,Batagay,RU,67.6333,134.6333,-17.05,100,100,0.96,overcast clouds
30,Lubango,AO,-14.9172,13.4925,60.62,96,100,1.19,light rain
31,Schoneiche,DE,52.4667,13.6833,42.22,33,0,10.36,clear sky
32,Hithadhoo,MV,-0.6,73.0833,81.54,76,8,6.85,clear sky
33,Tiksi,RU,71.6872,128.8694,-15.56,98,100,5.06,overcast clouds
34,Nikolskoye,RU,59.7035,30.7861,32.81,94,100,4.79,overcast clouds
35,Dingzhou,CN,38.5131,114.9956,41.11,76,26,4.72,scattered clouds
