City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Katobu,ID,76.08,broken clouds,-4.9408,122.5276,La Ode Husein
1,Boyolangu,ID,75.6,overcast clouds,-8.1181,111.8935,Yos ega cv
2,Rikitea,PF,78.69,broken clouds,-23.1203,-134.9692,People ThankYou
3,Atuona,PF,78.51,broken clouds,-9.8,-139.0333,Villa Enata
4,Vaini,TO,75.36,few clouds,-21.2,-175.2,Keleti Beach Resort
5,Bengkulu,ID,77.09,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
6,Hobyo,SO,78.71,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
7,Pisco,PE,75.25,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
8,Iquique,CL,75.24,clear sky,-20.2208,-70.1431,Backpacker`s Hostel Iquique
9,Namatanai,PG,78.49,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
10,Saint-Philippe,RE,79.21,moderate rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
11,Ende,ID,78.42,overcast clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
12,Ewa Beach,US,76.69,broken clouds,21.3156,-158.0072,Base Lodging
13,Chimbote,PE,78.84,overcast clouds,-9.0853,-78.5783,Hotel Briliá
14,Kismayo,SO,78.8,few clouds,-0.3582,42.5454,Agan-Hotel
15,Katherine,AU,77.32,broken clouds,-14.4667,132.2667,Pine Tree Motel
16,Grenville,GD,79.29,scattered clouds,12.1167,-61.6167,Valley Breeze Guest House
17,Kigorobya,UG,77.07,broken clouds,1.6162,31.3089,Palace guest house kigorobya
18,San Pedro,PH,79.36,overcast clouds,14.35,121.0167,Esquivel's Garden And Resort
19,Souillac,MU,78.78,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
20,Kahului,US,76.84,few clouds,20.8947,-156.47,Maui Seaside Hotel
21,Makakilo City,US,75.29,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
22,Celestun,MX,76.08,scattered clouds,20.8667,-90.4,Posada Lilia
23,Padang,ID,78.85,overcast clouds,-0.9492,100.3543,Mercure Padang
24,Cayenne,GF,76.08,heavy intensity rain,4.9333,-52.3333,Hôtel Le Dronmi
25,Carnarvon,AU,76.32,clear sky,-24.8667,113.6333,Hospitality Carnarvon
