City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mahebourg,MU,-20.4081,57.7,80.26,94,40,8.05,scattered clouds
1,Cape Town,ZA,-33.9258,18.4232,72.09,73,75,10.36,broken clouds
2,Mahibadhoo,MV,3.7833,72.9667,82.62,70,2,9.1,clear sky
3,Kapaa,US,22.0752,-159.319,71.58,79,67,11.65,light rain
4,Punta Arenas,CL,-53.15,-70.9167,50.11,66,75,17.27,broken clouds
5,Codrington,AU,-38.2667,141.9667,52.43,91,0,7.67,clear sky
6,Cherskiy,RU,68.75,161.3,-9.92,100,99,6.76,overcast clouds
7,Grindavik,IS,63.8424,-22.4338,36.07,75,40,18.41,scattered clouds
8,Victoria,HK,22.2855,114.1577,73.45,77,44,8.01,scattered clouds
9,Taoudenni,ML,22.6783,-3.9836,83.46,8,0,9.42,clear sky
10,Hilo,US,19.7297,-155.09,74.62,92,67,4.0,broken clouds
11,Jian,CN,27.1172,114.9793,72.01,70,100,4.61,overcast clouds
12,Vigrestad,NO,58.5667,5.7,44.28,64,89,30.13,overcast clouds
13,Mount Gambier,AU,-37.8333,140.7667,49.91,93,1,0.0,clear sky
14,Linares,CL,-35.85,-71.6,87.75,19,0,6.98,clear sky
15,Umm Lajj,SA,25.0213,37.2685,68.36,56,100,16.6,overcast clouds
16,Albany,US,42.6001,-73.9662,27.43,91,100,7.0,snow
17,Port Alfred,ZA,-33.5906,26.891,80.78,73,99,16.67,overcast clouds
18,Georgetown,MY,5.4112,100.3354,82.35,83,20,0.0,few clouds
19,Butaritari,KI,3.0707,172.7902,81.14,76,6,19.66,light rain
20,Obo,CF,5.3998,26.4869,79.41,56,100,3.49,overcast clouds
21,Mataura,NZ,-46.1927,168.8643,50.49,97,15,2.21,few clouds
22,Palana,RU,59.1167,159.9667,1.26,92,6,5.1,clear sky
23,Thompson,CA,55.7435,-97.8558,5.16,51,100,5.75,overcast clouds
24,Eureka,US,40.8021,-124.1637,62.2,46,0,13.38,clear sky
25,Chokurdakh,RU,70.6333,147.9167,-28.88,100,39,3.98,scattered clouds
26,Los Alamos,US,35.8881,-106.307,42.39,35,0,4.0,clear sky
27,Avarua,CK,-21.2078,-159.775,73.45,100,61,1.14,broken clouds
28,Busselton,AU,-33.65,115.3333,68.68,81,93,4.94,overcast clouds
29,Katobu,ID,-4.9408,122.5276,76.08,94,75,3.29,broken clouds
30,Boyolangu,ID,-8.1181,111.8935,75.6,93,100,4.03,overcast clouds
31,Khandyga,RU,62.6667,135.6,-15.16,100,100,2.66,overcast clouds
32,Barrow,US,71.2906,-156.7887,-20.24,100,29,7.34,scattered clouds
33,Walvis Bay,NA,-22.9575,14.5053,72.55,73,45,16.11,scattered clouds
34,Bluff,NZ,-46.6,168.3333,50.81,89,30,7.9,scattered clouds
35,Ushuaia,AR,-54.8,-68.3,49.66,62,75,5.75,broken clouds
36,Rikitea,PF,-23.1203,-134.9692,78.69,73,74,10.07,broken clouds
37,Saint George,US,37.1041,-113.5841,53.64,25,0,2.95,clear sky
38,Atuona,PF,-9.8,-139.0333,78.51,74,82,14.76,broken clouds
39,Balaipungut,ID,1.05,101.2833,74.21,97,80,2.19,broken clouds
40,Vaini,TO,-21.2,-175.2,75.36,100,20,2.3,few clouds
41,Nanortalik,GL,60.1432,-45.2371,15.13,82,100,42.95,light snow
42,Altdorf,DE,49.3875,11.3572,44.92,50,11,4.94,few clouds
43,San Rafael,AR,-34.6177,-68.3301,81.97,24,0,8.12,clear sky
44,Bengkulu,ID,-3.8004,102.2655,77.09,91,95,4.38,moderate rain
45,Maniitsoq,GL,65.4167,-52.9,2.46,90,100,11.18,overcast clouds
46,Bilibino,RU,68.0546,166.4372,-8.01,76,41,4.29,scattered clouds
47,Bredasdorp,ZA,-34.5322,20.0403,72.72,68,4,16.11,clear sky
